O martins é deficiente,2022,2,16,15,8,2022,2,20,19,8,2000,0,222.00
Pedro ,2022,2,21,3,3,2022,3,2,9,3,100,0,200.00
Pedro,2023,2,1,4,5,2023,2,1,5,5,20,0,1.00
ioi,2023,2,2,5,3,2023,2,2,6,3,2,0,2.00
2,2023,2,3,2,2,2023,2,3,4,2,2,0,2.00
3,2023,2,4,2,2,2023,2,4,4,2,2,0,2.00
4,2023,2,4,4,4,2023,2,4,8,4,4,0,4.00
5,2023,2,22,5,5,2023,2,22,10,5,5,0,5.00
6,2023,3,28,6,6,2023,3,28,12,6,6,0,6.00
7,2023,3,29,7,7,2023,3,29,14,7,7,0,7.00
8,2023,3,30,8,8,2023,3,30,16,8,8,0,8.00
9,2023,3,31,9,9,2023,3,31,18,9,9,0,9.00
10,2023,3,28,2,2,2023,3,28,4,2,2,0,10.00
1,2023,4,29,1,1,2023,4,29,2,1,1,0,1.00
